,preds,labels
0,6.0681047439575195,6.0
1,8.974721908569336,9.0
2,4.854922771453857,5.0
3,7.974530220031738,8.0
4,10.207640647888184,10.0
5,3.0000598430633545,3.0
6,12.125297546386719,12.0
7,5.783779621124268,6.0
8,4.5699076652526855,5.0
9,9.120537757873535,9.0
10,6.020646572113037,6.0
11,4.826776027679443,5.0
12,8.156294822692871,8.0
13,5.062687397003174,5.0
14,3.9041359424591064,4.0
15,6.182464599609375,6.0
16,4.002343654632568,4.0
17,9.80235767364502,10.0
18,3.1677284240722656,3.0
19,7.880527496337891,8.0
20,7.730292320251465,8.0
21,4.454316139221191,5.0
22,7.058324813842773,7.0
23,8.15331745147705,8.0
24,7.850368976593018,8.0
25,7.052091598510742,7.0
26,6.053444862365723,6.0
27,7.085043907165527,7.0
28,9.091201782226562,9.0
29,6.059442520141602,6.0
30,11.059972763061523,10.999999999999998
31,7.421234607696533,7.0
32,5.7195353507995605,6.0
33,6.148865222930908,6.0
34,3.1026201248168945,3.0
35,5.044520854949951,5.0
36,6.912378311157227,7.0
37,4.72418212890625,5.0
38,13.025618553161621,13.000000000000002
39,6.278363227844238,6.0
40,5.940892219543457,6.0
41,13.309000015258789,13.000000000000002
42,6.313413619995117,6.0
43,7.011535167694092,7.0
44,7.17879581451416,7.0
45,7.8197174072265625,8.0
46,10.119331359863281,10.0
47,6.142216205596924,6.0
48,8.962539672851562,9.0
49,10.387237548828125,10.0
50,8.862495422363281,9.0
51,12.171409606933594,12.0
52,10.369270324707031,10.0
53,4.785288333892822,5.0
54,6.837859630584717,7.0
55,4.30507230758667,4.0
56,7.723567008972168,8.0
57,7.984103202819824,8.0
58,2.8409817218780518,3.0
59,7.0446624755859375,7.0
60,4.984064102172852,5.0
61,7.52690315246582,8.0
62,8.063722610473633,8.0
63,6.8430280685424805,7.0
64,8.08453369140625,8.0
65,2.307396173477173,2.0
66,10.95617389678955,10.999999999999998
67,4.370569229125977,5.0
68,3.566541910171509,4.0
69,8.105300903320312,8.0
70,2.0244193077087402,2.0
71,3.9801340103149414,4.0
72,3.291069507598877,3.0
73,1.955686092376709,2.0
74,5.373964309692383,5.0
75,3.128862142562866,3.0
76,3.1799938678741455,3.0
77,3.6180880069732666,3.0
78,12.398263931274414,13.000000000000002
79,6.186358451843262,7.0
80,2.9909300804138184,3.0
81,8.045494079589844,8.0
82,5.885344982147217,6.0
83,5.592836380004883,6.0
84,7.147767543792725,7.0
85,5.044647693634033,5.0
86,4.04279899597168,4.0
87,12.070394515991211,12.0
88,8.779738426208496,9.0
89,7.832993030548096,8.0
90,4.0241169929504395,4.0
91,2.8513946533203125,3.0
92,9.02754020690918,9.0
93,10.401386260986328,10.999999999999998
94,5.679323673248291,6.0
95,5.848348140716553,6.0
96,4.238484859466553,4.0
97,2.9528777599334717,3.0
98,6.108625888824463,6.0
99,3.05263614654541,3.0
100,7.789709091186523,8.0
101,4.909473896026611,5.0
102,9.645774841308594,10.0
103,3.346982955932617,3.0
104,11.905579566955566,12.0
105,1.7135200500488281,2.0
106,2.7993052005767822,3.0
107,3.900158166885376,4.0
108,3.312108039855957,4.0
109,5.979679584503174,6.0
110,7.786911964416504,8.0
111,4.933360576629639,5.0
112,4.0263848304748535,4.0
113,6.164453983306885,6.0
114,3.089092493057251,3.0
115,7.861661911010742,8.0
116,3.0935592651367188,3.0
117,2.8514246940612793,3.0
118,5.2901105880737305,5.0
119,4.643704414367676,5.0
120,4.046169757843018,4.0
121,2.4925479888916016,2.0
122,7.994070053100586,8.0
123,9.235489845275879,10.0
124,6.477353096008301,7.0
125,12.19857120513916,12.0
126,4.69805908203125,4.0
127,4.676107883453369,5.0
128,12.103611946105957,12.0
129,6.696740627288818,7.0
130,9.05388355255127,9.0
131,13.424118041992188,13.000000000000002
132,9.071895599365234,9.0
133,14.244132995605469,14.000000000000002
134,17.48236846923828,17.0
135,14.983365058898926,16.0
136,15.399702072143555,14.999999999999998
137,12.915689468383789,13.000000000000002
138,11.761598587036133,12.0
139,13.86972713470459,14.000000000000002
140,13.879347801208496,14.000000000000002
141,11.769731521606445,12.0
142,14.018463134765625,14.000000000000002
143,15.910385131835938,16.0
144,19.952800750732422,21.0
145,11.388886451721191,12.0
146,13.678215026855469,12.0
147,10.527284622192383,10.0
148,14.286022186279297,14.999999999999998
149,10.588661193847656,10.0
150,11.987133979797363,12.0
151,14.467873573303223,14.000000000000002
152,9.776002883911133,10.0
153,11.00946044921875,10.999999999999998
154,10.409476280212402,10.0
155,4.901028156280518,5.0
156,2.6863181591033936,3.0
157,9.109739303588867,9.0
158,13.627193450927734,14.000000000000002
159,7.612253665924072,8.0
160,10.282251358032227,10.0
161,11.525373458862305,10.999999999999998
162,14.769129753112793,14.999999999999998
163,16.004636764526367,16.0
164,11.820402145385742,12.0
165,6.9716572761535645,7.0
166,8.88640308380127,9.0
167,5.600692272186279,5.0
168,10.829837799072266,10.999999999999998
169,13.383167266845703,13.000000000000002
170,8.611964225769043,9.0
171,12.203272819519043,12.0
172,5.6981201171875,5.0
173,6.594062805175781,7.0
174,5.223660469055176,5.0
175,18.644840240478516,19.0
176,13.306554794311523,13.000000000000002
177,11.501585006713867,10.0
178,13.243476867675781,13.000000000000002
179,12.335585594177246,12.0
180,13.723315238952637,14.000000000000002
181,12.147003173828125,12.0
182,7.796215534210205,8.0
183,13.062475204467773,13.000000000000002
184,20.376379013061523,20.0
185,16.246137619018555,18.000000000000004
186,12.20034122467041,10.999999999999998
187,12.562036514282227,12.0
188,13.39479923248291,13.000000000000002
189,13.45344066619873,14.000000000000002
190,8.019916534423828,8.0
191,14.011077880859375,14.000000000000002
